date,CVX,GSCI
2014/11/9,-0.021096393,-0.024892983
2014/11/16,0.019242824,0.008081517
2014/11/23,-0.085433328,-0.085599957
2014/11/30,0.018203834,-0.013116844
2014/12/7,-0.079666963,-0.060952708
2014/12/14,0.098076777,-0.015729289
2014/12/21,0.002829607,-0.026547232
2014/12/28,-0.005933684,-0.033653175
2015/1/4,-0.039590296,-0.049277838
2015/1/11,-0.028971229,-0.009057474
2015/1/18,0.016323427,-0.030353543
2015/1/25,-0.041270543,0.025841587
2015/2/1,0.066773173,0.051835641
2015/2/8,0.028510407,0.037250639
2015/2/15,-0.037767611,-0.023329703
2015/2/22,-0.017837708,0.01211991
2015/3/1,-0.029779111,-0.02272337
2015/3/8,-0.018814222,-0.045779507
2015/3/15,0.051868803,0.012166385
2015/3/22,-0.02602958,0.011358106
2015/3/29,0.009543879,-0.004348491
2015/4/5,0.015363891,0.028028745
2015/4/12,0.020369189,0.045845871
2015/4/19,0.006941301,0.008559075
2015/4/26,-0.007583061,0.019122807
2015/5/3,-0.003583081,0.001090144
2015/5/10,-0.00572274,0.014404035
2015/5/17,-0.029496784,-0.019783176
2015/5/24,-0.018183194,-0.006435048
2015/5/31,-0.013783883,-0.014241881
2015/6/7,-0.017075765,0.011581053
2015/6/14,-0.004013249,-0.014663757
2015/6/21,-0.00878483,0.009659785
2015/6/28,-0.028078155,-0.004444146
2015/7/5,-0.015346107,-0.043165314
2015/7/12,-0.013435903,-0.026216662
2015/7/19,-0.027756884,-0.045725035
2015/7/26,-0.023677675,-0.021586527
2015/8/2,-0.054940367,-0.0348668
2015/8/9,0.02639484,-0.001095782
2015/8/16,-0.126660562,-0.047433263
2015/8/23,0.059816792,0.049165647
2015/8/30,-0.047876743,-0.002130799
2015/9/6,-0.01154414,-0.00384103
2015/9/13,0.025403568,-0.016308375
2015/9/20,-0.000514668,0.012282114
2015/9/27,0.048361072,-0.010458247
2015/10/4,0.093804113,0.057687703
2015/10/11,0.01902081,-0.027558654
2015/10/18,-0.000547855,-0.033363607
2015/10/25,-0.003953442,0.017636251
2015/11/1,0.034073925,-0.027238891
2015/11/8,-0.058579496,-0.040973639
2015/11/15,0.003714338,-0.005200561
2015/11/22,0.015163631,-0.001256866
2015/11/29,-0.007330108,-0.017759504
2015/12/6,-0.037131714,-0.054059777
2015/12/13,0.038245796,-0.021031002
2015/12/20,0.02463558,0.02130906
2015/12/27,-0.022966781,-0.007525859
2016/1/3,-0.091061769,-0.052988859
2016/1/10,0.018577133,-0.057081198
2016/1/17,-0.001554931,0.038752966
2016/1/24,0.034471974,0.035434959
2016/1/31,-0.042403754,-0.030496112
2016/2/7,0.030303549,0.011391234
2016/2/14,0.012447087,-0.004234349
2016/2/21,-0.025169605,0.021121702
2016/2/28,0.041566234,0.047782377
2016/3/6,0.072904994,0.051783887
2016/3/13,0.032353162,0.011679826
2016/3/20,-0.029502503,-0.022304867
2016/3/27,-0.006239775,-0.035707625
2016/4/3,0.021722875,0.039110721
2016/4/10,0.009299509,0.021720911
2016/4/17,0.047991542,0.034300451
2016/4/24,0.001665116,0.035079458
2016/5/1,-0.003136642,-0.027536922
2016/5/8,-0.011056381,0.03117147
2016/5/15,-0.009474962,0.015321619
2016/5/22,0.022100895,0.012384602
2016/5/29,-0.013420371,0.005737228
2016/6/5,0.013028214,0.019180103
2016/6/12,-0.0040285,-0.011654637
2016/6/19,0.003243724,-0.020427406
2016/6/26,0.021840227,0.019353448
2016/7/3,0.005935304,-0.050127959
2016/7/10,0.021341698,0.008582572
2016/7/17,-0.012882777,-0.034053885
2016/7/24,-0.030558734,-0.027998971
2016/7/31,-0.019410433,0.007722425
2016/8/7,0.016282987,0.031913228
2016/8/14,0.001564946,0.047881987
2016/8/21,-0.009821332,-0.020075629
2016/8/28,-0.003856618,-0.044754051
2016/9/4,0.00336301,0.021606092
2016/9/11,-0.034456726,-0.018978086
2016/9/18,0.014006115,0.009800794
2016/9/25,0.036612381,0.036165291
2016/10/2,-0.006335613,0.019933289
2016/10/9,-0.011704092,0.010212352
